Illusion Flower,Keep,"Cooking, Server Hat Quest","+10 DEX Food, x10 for Crimson Rose, x10 for Pecopeco Wing Ears",710,,,,
Immortal Heart,"Vend, Whobuy","Cooking, Pet Food, Alchemy / Brewing / Potions",,929,,,,
Infiltrator [0],Vend,Equipment,,1261,"500,000",,,No
Insect Feeler,NPC,Misc,,928,,,,
Insect Leg,NPC,Misc,,7316,,,,
Iron,Keep,Official Hat Quest,"x50 for Doctor Band, x20 for Opera Masque",998,,,,
Iron Hammer,,Refining / Ore / Forging,,613,,,,
Iron Ore,NPC,Misc,,1002,,,,
Isilla Card,Vend,"Pet Evolution, Card",x10 for Gloom Under Night Pet Evolution,4412,,,,No
Izidor,"Vend, Whobuy","Cooking, Job Quest",x1 for Bard Job Quest,709,,,,No
Jack be Dandy,"Keep, Vend",Official Hat Quest,x1 for Fashionable Glasses,2271,0,0,,Yes
Jack o' Pumpkin,"NPC, Keep",Cooking,,1062,0,0,,Yes
Jellopy,Keep,"Pet Evolution, Official Hat Quest, Dungeon Quest","x10,000 for Orc Hero Helm, x10 for Veins Sibling Quest (each try), x200 for Angeling Pet Evolution",909,,,,No
Jewel Crown [0],"Keep, Vend",Server Hat Quest,x1 for Pisces Diadem,5002,,,,
Jing Guai Card,Vend,"Pet Evolution, Card",x10 for Bascojin Pet Evolution,4265,,,,
Jubilee,NPC,Dungeon Quest,x10 for Finding the Moving Island (Moscovia Dungeon),7312,,,,
Karvodailnirol,"Vend, Whobuy","Skill Crafting, Other Quest",Create Deadly Poison,972,,,,
Kitty Band [0],Vend,"Official Hat Quest, Server Hat Quest","x1 for Black Cat Ears, x1 for Raccoon Hat, x1 for Bunny Band, x1 for Wikibine's Black Cat Ears",2213,,,,No
Knife Goblin Ring,Vend,Pet Taming Item,,14569,,,,
Kuloren,Vend,Pet Taming Item,"Shinobi Taming Item,",12362,,,,
Lantern,NPC,Misc,,1041,,,,
Large Jellopy,"Vend, Whobuy","Alchemy / Brewing / Potions, Server Hat Quest",x300 for Vanilmirth Hat,7126,,,,
Leaf Cat Card,Vend,"Pet Evolution, Card","x10 for Eddga Pet Evolution, x10 for Wild Rose Pet Evolution",4195,,,,No
Lemon,"Vend, Whobuy",Cooking,+10 INT Food,568,700,160,37,No
Lemon Dyestuffs,NPC,Misc,,976,,,,No
Level 5 Fire Wall Scroll,NPC,Consumable,,699,,,,No
Little Evil Horn,"Keep, Vend",Official Hat Quest,x600 for Deviruchi Hat,1038,,,,No
Little Evil Wing,"Keep, Vend",Pet Evolution,x250 for Diabolic Pet Evolution,1039,,,,No
Log,"Keep, NPC","Official Hat Quest, Dungeon Quest","x500 for Hahoe Mask, x500 for Mythical Lion Mask, x500 for Bride Mask, x30 for Finding the Moving Island Quest (Moscovia Dungeon Access)",7201,,,,No
Loki's Whisper,Vend,Pet Evolution,"x1 for Blue Moon Loli Ruri Pet Evolution, ",,,,,No
Loli Ruri Card,Vend,"Pet Evolution, Card",,4191,,,,No
Lunatic Card,"Keep, Vend",Pet Evolution,x5 for Leaf Lunatic Pet Evolution,4006,,,,No
Luxurious Pet Food,Keep,Pet Food,,,,,,"Yes, NPC only item"
Luxury Whisky Bottle,Vend,Pet Taming Item,"Dullahan Taming Item, ",12367,,,,
Magical Lithography,Vend,"Pet Taming Item, Pet Evolution","Golem Taming Item, x1 for Fire Golem Pet Evolution",12371,,,,
Magician Hat [0],"Keep, Vend",Server Hat Quest,"x1 for Bunny Ears Hat, x1 for Dress Hat",,,,,
Majestic Goat [0],"Keep, Vend","Server Hat Quest, Pet Evolution",x1 for Gigantic Majestic Goat (DEF),,,,,
Majestic Goat [1],"Keep, Vend",Server Hat Quest,"x1 for Gigantic Majestic Goat (DEF), x1 for Baphomet Pet Evolution",,,,,
Mane,"Vend, Whobuy","Cooking, Official Hat Quest",x100 for Hahoe Mask,1028,,,,
Maneater Blossom,Keep,"Official Hat Quest, Alchemy / Brewing / Potions",,1032,,,,
Maneater Root,"Vend, Whobuy",Cooking,,1033,,,,
Mantis Scythe,NPC,Misc,,1031,,,,
Mao Guai Card,Vend,"Pet Evolution, Card",x10 for Bascojin Pet Evolution,4202,,,,
Marionette Doll [1],"Keep, Vend",Server Hat Quest,"x1 for Alice Doll, x1 for Glaris Doll, x1 for Defolty Doll",,"800,000",,,
Masked Ball,,Pet Accessory,,10034,,,,No
Mastela Fruit,Vend,"Pet Evolution, Valuable Consumable, Cooking",x10 for Grand Peco Pet Evolution,522,,,,Yes
Matchstick,"Keep, Vend","Official Hat Quest, Server Hat Quest","x50 for Candle Hat, x5 for Antique Smoking Pipe",7035,,,,No
Meat,Keep,"Consumable, Pet Evolution, Cooking",x100 for Savage Pet Evolution,517,,,,Yes
Memento,Vend,Cooking,+10 VIT Food,934,500,0,372,Yes
Ment,"Vend, Whobuy",Alchemy / Brewing / Potions,,708,,,,
Metaller Card,Vend,"Pet Evolution, Card",x1 for Metaller Pet Evolution,4057,,,,
Milk,Keep,Cooking,"x2 for Veins Sibling Quest (each try), x50 for Crunch Toast",519,0,0,,Yes
Mini Furnance,,"Dungeon Quest, Refining / Ore / Forging",,,,,,
Mixture,Keep,"Official Hat Quest, Misc",,974,,,,
Mole Whiskers,,"Alchemy / Brewing / Potions, Misc",,1017,,,,
Monster Juice,"Vend, NPC",Pet Taming Item,Hunter Fly Taming Item,626,,,,
Monster Oxygen Max,Junk,Pet Accessory,,,,,,
Monster's Feed,NPC,"Dungeon Quest, Consumable",,528,0,0,,Yes
Morning Dew,Vend,"Pet Food, Alchemy / Brewing / Potions",,6105,,,,
Moth Dust,NPC,"Misc, Alchemy / Brewing / Potions",,1057,,,,
Moth Wing,NPC,Misc,,,,,,
Mould Powder,"Keep, NPC","Official Hat Quest, Misc",x40 for Mage Hat,7001,,,,
Mr. Scream [0],"Keep, Vend","Official Hat Quest, Equipment",x1 for Alarm Mask,2288,,,,No
Munak Card,"Keep, Vend","Pet Evolution, Card",x10 for Moonlight Flower Pet Evolution,4090,,,,
Munak Doll,"Keep, Vend","Pet Evolution, Misc","x100 for Yao Jun Pet Evolution (Hyegun),",7277,"7,000",,,
Muscovite,,"Refining / Ore / Forging, Misc",,7292,,,,
Mushroom Spore,Keep,"Misc, Cooking, Official Hat Quest",x300 for Decorative Mushroom,921,400,80,22,
Mystic Frozen,"Vend, Whobuy","Refining / Ore / Forging, Server Hat Quest",x50 for Fish in Mouth,995,,,,
Mystic Horn,NPC,Misc,,6023,,,,No
Mystic Stone,NPC,Pet Food,,6111,,,,
Needle of Alarm,"Keep, NPC",Official Hat Quest,x3000 for Alarm Mask,1095,,,,No
Needle Packet,"Keep, Vend","Official Hat Quest, Dungeon Quest",x1 for Ayothaya Dungeon Entrance Quest,7213,,,,
Nine Tail Card,"Keep, Vend","Pet Evolution, Card","x10 for Moonlight Flower Pet Evolution, x1 for Cat o' Nine Tails Pet Evolution",4159,,,,
Nine Tails,Keep,"Pet Evolution, Official Hat Quest, Cooking, Server Hat Quest","x500 for Moonlight Flower Hat, x999 for Cat o' Nine Tails Pet Evolution, x999 for Kitsune Mask",1022,,,,
No Recipient,"Keep, Vend",Pet Taming Item,"Munak Taming Item,",636,,,,
Nose Ring,Keep,Official Hat Quest,x1 for Baby Pacifier,941,,,,
Nursing Bottle,Keep,Official Hat Quest,x1 for Baby Pacifier,7270,,,,
Nut Shell [0],"Keep, Vend",Official Hat Quest,x1 for Wonder Nutshell,,,,,
Oil Paper,Keep,Official Hat Quest,x100 for Party Hat,7151,,,,
Oilpalm Coconut,Vend,Pet Taming Item,"Stone Shooter Taming Item,",12369,,,,
Old Blue Box,"Keep, Vend",Consumable,"Open it, silly!",603,,,,
Old Broom,Vend,"Pet Taming Item, Pet Evolution","Dokebi Taming Item, x3 for Am Mut Pet Evolution",637,,,,
Old Frying Pan,Vend,"Pet Evolution, Official Hat Quest, Cooking","x50 for Crunch Toast, x10 for Eggring Pet Evolution",7031,,,,
Old Magic Book,"Keep, Vend","Server Hat Quest, Pet Taming Item Ingredient",x2 for Rideword Hat (RWH),,,,,
Old Pick,NPC,Misc,,7318,,,,
Old Portrait,"Keep, Vend",Pet Evolution,"x50 for Yao Jun Pet Evolution (Hyegun),",7014,,,,
Old Purple Box,"Keep, Vend",Consumable,"Open it, silly!",617,,,,
Old Tree's Dew,Vend,Pet Taming Item,"Willow Pet Taming Item,",,,,,
Opal,"Vend, NPC",Pet Evolution,x10 for Aliot Pet Evolution,727,,,,
Opera Masque [0],Keep,Official Hat Quest,x1 for Opera Phantom Mask,,,,,No
Ora Ora,Keep,Official Hat Quest,,701,,,,
Orange,"Whobuy, Keep",Cooking,,582,,,,
Orange Dyestuffs,Keep,Official Hat Quest,x1 for Mythical Lion Mask,980,,,,
Orange Juice,Vend,Pet Taming Item,"Drops Taming Item,",620,,,,
Orc Baby Card,"Keep, Vend","Pet Evolution, Card","x5 for Orc Hero Pet Evolution,",4375,,,,
Orc Claw,NPC,Misc,,1043,,,,
Orc Trophy,"Keep, Vend","Pet Taming Item, Pet Evolution","Orc Warrior Taming Item, x3 for High Orc Pet Evolution",635,,,,
Orc Warrior Card,"Keep, Vend","Pet Evolution, Card","x1 for High Orc Pet Evolution, x10 for Orc Hero Pet Evolution",4066,,,,
Orc's Fang,NPC,Misc,,922,,,,
Orcish Sword [0],"Keep, Vend",Pet Evolution,x1 for High Orc Pet Evolution,,,,,
Orcish Voucher,"Keep, Vend","Pet Evolution, Official Hat Quest","x500 for High Orc Pet Evolution, x10,000 for Orc Hero Helm",931,,,,
Oridecon,Keep,"Alchemy / Brewing / Potions, Official Hat Quest","x2 for Hat of the Sun God, x1 for Headset",984,,,,
Outdoor Cooking Kit,Keep,Cooking,,12125,,,,
Pacifier,"Vend, NPC","Pet Accessory, Official Hat Quest",x1 for Baby Pacifier,10004,,,,
Pantie [0],Junk,Equipment,,2339,"5,000",0,,
Partizan,NPC,Equipment,,1457,,,,No
Peaked Hat,NPC,Misc,,601,,,,No
Pearl,NPC,Official Hat Quest,x1 for Bunny Band,722,,,,
Peco Peco Card,Vend,"Card, Pet Evolution","x1 for Grand Peco Pet Evolution,",4031,,,,
Peco Peco Feather,Keep,"Pet Evolution, Official Hat Quest, Server Hat Quest",x500 for Pecopeco Wing Ears,7101,,,,
Pencil Case,"Keep, Vend",Server Hat Quest,x7 for Well-Chewed Pencil,738,,,,
Peridot,,Refining / Ore / Forging,,7289,,,,
Pet Food,Keep,"Pet Food, Pet Evolution","x10 for Savage Pet Evolution, x10 for Grand Peco Pet Evolution",537,,,,
Petite's Tail,"Keep, Vend",Pet Evolution,x100 for Earth Deleter Pet Evolution,6260,,,,
Phlogopite,,Refining / Ore / Forging,,7290,,,,
Piece of Bamboo,Keep,Official Hat Quest,x300 for Straw Hat,7150,,,,
Piece of Black Cloth,NPC,Misc,,7205,,,,
Piece of Cake,"Keep, Vend","Cooking, Official Hat Quest","x120 for Chef Hat, x50 for Crunch Toast",539,,,,
Piece of Egg Shell,NPC,Pet Evolution,x20 for Eggring Pet Evolution,7032,,,,
Pipe,"Keep, Vend",Server Hat Quest,x1 for Antique Smoking Pipe,2268,,,,
Plant Neutrient,NPC,Pet Food,,6109,,,,
Pocket Watch,"Keep, Vend",Server Hat Quest,x2 for Gangster Scarf,2717,,,,
Pointed Scale,NPC,Misc,-,906,0,0,42,No
Poison Spore,"Keep, Vend, Whobuy","Skill Crafting, Official Hat Quest, Alchemy / Brewing / Potions",x850 for Spore Hat,7033,,,,No
Porcupine Quill,"Whobuy, Vend",Repeatable Quest,,1027,,,,No
Poring Coin,"Keep, Vend, Whobuy",Server Currency,"Used for Server Hats, Pet Evolutions, and more! Check the uaRO wiki for more details.",7539,"15,000","12,700",,No
Pot,Keep,Cooking,,7482,,,,
Potato,NPC,Consumable,,516,0,0,,Yes
Powder of Butterfly,"Whobuy, Vend",Repeatable Quest,,924,,,,
Prickly Fruit,"Vend, Whobuy","Cooking, Server Hat Quest","+10 DEX Food, x250 for Tropical Fruit Hat",576,,,,
Professional Cooking Kit,"Keep, Vend",Cooking,,12127,,,,
Pumpkin,NPC,Consumable,,535,0,0,,Yes
Pumpkin Lantern,"Keep, Vend",Server Hat Quest,x1000 for Festival Pumpkin Hat,7225,,,,
Pumpkin Pie,NPC,Pet Food,,6097,,,,
Punisher,"Vend, Keep",Pet Accessory,Keep 1,10008,,,,
Puppet,NPC,Misc,,740,,,,
Puppy Headband [0],Vend,"Server Hat Quest, Equipment",x5 for Puppy Hat,,,,,
Pyroxene,,Refining / Ore / Forging,,7296,,,,
Queen's Coronet,,Pet Accessory,,10032,,,,
Queen's Hair Ornament,Vend,"Pet Accessory, Pet Evolution, Official Hat Quest","x1 for Crown of Ancient Queen, x1 for Little Isis Pet Evolution",10006,,,,
Raccoon Leaf,Keep,"Official Hat Quest, Cooking",,945,,,,
Rainbow Carrot,Keep,"Pet Taming Item, Cooking",Lunatic Taming Item,622,,,,
Rainbow Shell,Keep,Skill Crafting,Create Elemental Converter,1013,,,,
Red Bandana [0],"Keep, Vend",Official Hat Quest,x1 for Doctor Band,,,,,
Red Bijou,"Keep, NPC",Official Hat Quest,"x7 for Magistrate Hat [1], x7 for A-Yam Hat [1]",7447,0,0,549,
Red Chile,"Keep, NPC",Cooking,,7286,,,,No
Red Feather,"Keep, Vend",Server Hat Quest,"x25 for Filir's Pinions, x10 for Rainbow Scarf, x300 for Little Angel Doll",7440,,,,
Red Gemstone,Keep,"Pet Food, Skill Use, Job Quest",Wizard Job Quest,716,,,,
Red Herb,Keep,"Pet Food, Alchemy / Brewing / Potions",,507,,,,
Red Muffler,Keep,Official Hat Quest,x300 for Hot-blooded Headband,7216,,,,
Red Prickly Fruit,"Keep, NPC",Server Hat Quest,x250 for Tropical Fruit Hat,587,,,,
Red Scarf,,Pet Accessory,Smokie Pet accessory,10019,,,,
Red Spice,Keep,Cooking,,7456,0,0,,"Yes, NPC only item"
Refined Bradium,Vend,Misc,,6090,"1,200",0,,
Reins,Vend,Pet Evolution,"x1000 for Abysmal Knight Pet Evolution, x1000 for White Knight Pet Evolution",1064,,,,
Reptile Tongue,"Vend, Whobuy",Cooking,,903,,,,
Research Chart,Vend,"Server Hat Quest, Misc",x500 for Love Guard [1],7347,"2,000",0,,
Resin,Keep,Official Hat Quest,x100 for Parcel Hat,907,,,,
Ribbon [1],"Keep, Vend",Official Hat Quest,x1 for Red Ribbon,2209,,,,No
Ring of Death,,Pet Accessory,,10031,,,,
Rocker Doll,NPC,Misc,-,752,0,0,,
Rocker Glasses,Junk,Pet Accessory,,10014,,,,
Romantic Flower [0],"Keep, Vend",Official Hat Quest,x1 for Flower Hairpin,,,,,
Romantic Gent [0],"Keep, Vend",Official Hat Quest,x1 for Feather Bonnet,,,,,
Rosary [0],NPC,Official Hat Quest,x1 for Cross Hat,,0,0,,Yes
Rose Quartz,"Vend, Keep","Refining / Ore / Forging, Server Hat Quest",x10 for Crimson Rose,7293,,,,
Rotten Bandage,"NPC, Keep",Official Hat Quest,x500 for Giant Band Aid,930,,,,
Rotten Fish,,Pet Taming Item,Chonchon Taming Item,624,,,,
Rotten Meat,NPC,Misc,-,7564,,,,
Rouge,"NPC, Keep",Server Hat Quest,x10 for Blush of Groom,739,,,,
Rough Elunium,Keep,"Refining / Ore / Forging, Skill Crafting",,757,,,,
Rough Oridecon,Keep,"Refining / Ore / Forging, Skill Crafting",,756,800,200,341,
Rough Wind,"Vend, Whobuy","Refining / Ore / Forging, Server Hat Quest",x50 for Fish in Mouth,996,"30,000",,,
Royal Cooking Kit,"Keep, Vend",Cooking,,12128,,,,
Royal Jelly,"Vend, NPC","Valuable Consumable, Cooking, Official Hat Quest","+10 DEX Food, x100 for Candle Hat, x2 for Baby Pacifier",526,"4,800","4,500","4,300",No
Rune of Darkness,"Vend, Keep","Pet Evolution, Official Hat Quest, Other Quest","x5 for Odin's Temple Excavation Quest, x30 for Ancient Mummy Pet Evolution",7511,,,,No
Rusty Iron,"Vend, NPC",Pet Taming Item,Steel Chonchon Taming Item,625,,,,No
Rusty Screw,Vend,"Pet Evolution, Other Quest, Dungeon Quest","x10 for Factory Quest, x10 for Finding the Moving Island Quest (Moscovia Dungeon Access), x500 for Alicel Pet Evolution",7317,,,,No
Safety Helmet [0],"Keep, Vend",Official Hat Quest,x1 for Mine Helmet,,,,,No
Sakkat [0],Keep,Official Hat Quest,x1 for Straw Hat,,,,,No
Sand Clump,NPC,Misc,,7124,,,,No
Santa Hat [0],"Keep, Vend",Official Hat Quest,x1 for Party Hat,,,,,No
Sap Jelly,"Keep, Vend",Pet Taming Item,"Nine Tail Taming Item, x3 for Cat o' Nine Tails Pet Evolution",,,,,No
Sapphire,NPC,Misc,,726,,,,No
Sardonyx,NPC,Misc,x1 for new world quest,725,,,,No
Savory Sauce,Keep,Cooking,,7454,0,0,,"Yes, NPC only item"
Scarlet Dyestuffs,"Keep, Vend","Official Hat Quest, Server Hat Quest","x1 for Fashionable Glasses, x20 for Gangster Scarf, x1 for Red Bonnet",975,,,,No
Scatleton Memory,Vend,Pet Evolution,,,,,,No
Scatleton Memory,,Pet Evolution,x2 for Skelion Pet Evolution,,,,,
Scell,NPC,Pet Food,,911,,,,No
Scorpion Nipper,"Vend, Whobuy",Cooking,+10 AGI Food,1046,,,,No
Scorpion Tail,Keep,"Skill Crafting, Cooking","Create Elemental Converter, +10 AGI Food",904,,,,No
Sea-otter Fur,Keep,"Official Hat Quest, Dungeon Quest","x300 for Raccoon Hat, x10 for Finding the Moving Island Quest (Moscovia Dungeon)",7065,,,,No
Sharp Leaf,"Whobuy, Vend","Repeatable Quest, Cooking",Green Salad,7100,"1,300",900,,No
Sharp Scale,NPC,Misc,,963,,,,No
Shell,"Keep, NPC",Pet Evolution,x100 for Rigid Nightmare Terror Pet Evolution,935,,,,No
Shining Scale,"Keep, Vend","Pet Evolution, Cooking, Official Hat Quest","x300 for for Little Isis Pet Evolution, x300 for Magistrate Hat [1], x300 for A-Yam Hat [1]",954,,,,No
Shining Stone,Vend,"Pet Taming Item, Pet Evolution","Petite Taming Item, x3 for Earth Deleter Pet Evolution",640,,,,No
Shoot,"Vend, Whobuy","Pet Food, Cooking, Alchemy / Brewing / Potions",,711,,,,No
Short Daenggie,NPC,Misc,,1094,,,,No
Shoulder Protectors,NPC,Misc,,,,,,No
Shrimp,Vend,Consumable,-,567,700,0,310,
Sidewinder Card,"Keep, Vend","Server Hat Quest, Card",x1 for Chick Hat,4117,,,,
Silk Ribbon,"Keep, Vend","Pet Accessory, Official Hat Quest","x1 for Bao Bao, x1 for Red Ribbon",10007,"25,000",0,,
Silk Robe,Vend,Equipment,-,2322,"125,000",0,,
Silver Knife of Chastity,Vend,Pet Taming Item,"Sohee Taming Item,",638,,,,
Singing Flower,Vend,Pet Taming Item,"Rocker Taming Item,",629,,,,
Singing Plant,Vend,"Pet Evolution, Official Hat Quest","x1 for Opera Masque, x3 for Metaller Pet Evolution",707,,,,
Single Cell,NPC,Misc,,1052,0,0,,Yes
Skele Bone,NPC,Misc,,,,,,
Skirt of Virgin,"Keep, NPC",Official Hat Quest,x20 for Bride Mask,1049,,,,
Skull,"Vend, Keep","Pet Evolution, Server Hat Quest","x500 for Skull Cap, x1000 for Dark Illusion Pet Evolution, x500 for Contaminated Wanderer Pet Evolution",7005,,,,
Skull Helmet,,Pet Accessory,,,,,,
Slick Paper,"Keep, NPC",Official Hat Quest,"x100 for Party Hat, x100 for Censor Bar",7111,,,,
Small Doll Needle,Vend,Pet Taming Item,"Teddy Bear Taming Item, x3 for Abandoned Teddy Bear Pet Evolution",,,,,
Small Snow Flower,NPC,Pet Food,,6098,,,,
Smokie Doll,Vend,Dungeon Quest,,,,,,
Snail's Shell,Keep,Skill Crafting,Create Elemental Converter,946,,,,
Snake Scale,NPC,Misc,,926,,,,
Soft Apron,Vend,"Pet Taming Item, Server Hat Quest","x3 for Alice Doll, x3 for Defolty Doll, x3 for Glaris Doll, Alice Taming Item",661,,,,
Soft Blade of Grass,Keep,"Cooking, Official Hat Quest",x108 for Cowboy Hat,7194,,,,
Soft Feather,"Keep, Vend","Official Hat Quest, Server Hat Quest","x100 for Feather Beret, x200 for Skull Cap, x250 for Dress Hat, x300 for Purple Cowboy Hat",7063,,,,
Soft Silk,"Keep, Vend","Official Hat Quest, Server Hat Quest",x500 for Rainbow Scarf,7166,,,,
Sohee Card,Keep,"Pet Evolution, Card",x10 for Moonlight Flower Pet Evolution,4100,,,,
Solid Husk,"NPC, Vend",Dungeon Quest,x1 for Ayothaya Dungeon Entrance Quest,7190,"1,500",0,,No
Solid Iron Piece,NPC,Dungeon Quest,,7507,,,,
Solid Peach,"Whobuy, NPC",Cooking,,7164,,,,
Solid Shell,"Keep, Vend, NPC",Official Hat Quest,x1200 for Magician Hat,943,,,,
Solid Trunk,NPC,Misc,,1067,,,,
Spawn,"Keep, NPC","Cooking, Official Hat Quest",,908,,,,
Spicy Sauce,"Keep, NPC",Cooking,,7455,,,,
Spiritual Bandage,Vend,Pet Taming Item,"Mummy Taming Item, x3 for Ancient Mummy Pet Evolution",,,,,
Splendid Mirror,"Vend, NPC",Pet Taming Item,"Medusa Taming Item,",12368,,,,
Spool,"Keep, Vend","Official Hat Quest, Dungeon Quest",x1 for Ayothaya Dungeon Entrance Quest,7217,,,,
Spring,Junk,Pet Accessory,,10035,,,,
Spring Rabbit Card,"Keep, Vend","Server Hat Quest, Card",x1 for Bunny Ears Hat,4227,,,,
Squid Ink,"Keep, Vend","Cooking, Official Hat Quest, Job Quest, Misc","x1 for Sage Job Quest, x100 for Bride Mask",1024,,,,
Staff of Leader,Vend,Pet Taming Item,"Goblin Leader Taming Item,",12364,,,,
Star Crumb,Vend,"Server Hat Quest, Misc",x50 for Advanced Assassin Mask,1000,,,,
Star Dust,NPC,Misc,,1001,,,,
Steel,Keep,"Official Hat Quest, Arrow Crafting, Alchemy / Brewing / Potions, Misc","x10 for Cake Hat, x25 for Mine Helmet, x20 for Grief for Greed, x10 for Cresent Hairpin, x40 for Hat of the Sun God, x10 for Flower Hairpin, x100 for Binoculars, x40 for Headset",999,,,,
Stellar,"Keep, Vend","Official Hat Quest, Equipment",x1 for X Hairpin,2294,,,,
Stellar Hairpin,"Keep, Vend","Pet Accessory, Official Hat Quest, Equipment",,10011,,,,
Stem,"Whobuy, Vend","Alchemy / Brewing / Potions, Misc",,905,,,,
Sticky Mucus,"Keep, NPC","Official Hat Quest, Misc","x800 for Grief for Greed, x99 for Censor Bar",938,,,,
Sticky Posion,NPC,Misc,,7565,,,,
Sticky Webfoot,NPC,Cooking,,918,,,,No
Stinky Scale,Keep,Official Hat Quest,,959,,,,No
Stone Heart,"Whobuy, Vend","Repeatable Quest, Dungeon Quest",,953,,,,No
Strange Steel Piece,NPC,Dungeon Quest,x10 for Finding the Moving Island Quest (Moscovia Dungeon),7167,,,,No
Straw Basket,NPC,Misc,,7299,,,,
Straw Hat [0],Keep,Official Hat Quest,x1 for Sombrero,,,,,
Strawberry,"Vend, Whobuy","Cooking, Valuable Consumable",,578,,,,No
Summer Fan,,Pet Accessory,,10030,,,,
Sunday Hat [0],"Keep, Vend",Official Hat Quest,x1 for Red Bonnet,5032,,,,No
Sunflower [0],Junk,Equipment,,2253,,,,
Sunset on the Rock,NPC,Pet Food,,6107,,,,
Sushi,Keep,Official Hat Quest,,551,,,,
Suspcious Bottle,NPC,Pet Food,,,,,,
Sweet Milk,"Vend, NPC","Pet Taming Item, Pet Evolution","Savage Babe Taming Item, x3 for Savage Pet Evolution",627,,,,
Sweet Potato,Vend,Pet Taming Item,"Smokie Taming Item,",633,,,,No
Sweet Sauce,Keep,Cooking,,7453,,,,
Sweets Festival Coin,"Keep, Vend, Whobuy",Event Item Currency,Item only drops seasonally. x500 for Sweet Drops Pet Evolution,,,,,No
Talon,NPC,Misc,,917,,,,
Talon of Griffon,Keep,Official Hat Quest,x40 for Deviruchi Hat,7048,,,,
Tangled Chains,NPC,Misc,,7221,,,,
Tantan Noodle,Vend,Pet Taming Item,"Green Maiden Taming Item,",12395,,,,
Tassel,"Keep, Vend",Official Hat Quest,"x1,887 for Renown Detective's Cap [1]",7301,"2,000",0,494,
Tassel for Durumagi,,Pet Accessory,,10026,,,,
Teddy Bear Card,Keep,"Pet Evolution, Card","x1 for Alicel Pet Evolution, x1 for Aliot Pet Evolution, x1 for Abandoned Teddy Bear Pet Evolution",4340,,,,
Tendon,"Vend, Whobuy",Alchemy / Brewing / Potions,,1050,,,,
Tentacle,NPC,Misc,,962,,,,
Thara Frog Card,"Keep, Vend","Server Hat Quest, Card","x1 for Defolty Doll, x1 for Glaris Doll",4058,,,,
Three-Headed Dragon's Head,Vend,Misc,,7443,"90,000",0,592,
Tiger Panty,Keep,Official Hat Quest,,7267,,,,
Tiger's Footksin,"Vend, Keep","Pet Evolution, Official Hat Quest","x10 for Boy's Cap, x20 for Eddga Pet Evolution",,,,,
Tiny Egg Shell,Junk,Pet Accessory,,10012,,,,
Tongue,"Keep, Vend",Cooking,"+10 STR Food, x1 for Spore Hat",1015,,,,
Tooth of Bat,NPC,Misc,,913,,,,
Topaz,"Keep, Vend",Server Hat Quest,x250 for Moonlight Flower Hat,728,,,,
Torn Paper Piece,NPC,Misc,,,,,,
Tough Scalelike Stem,"Keep, NPC",Official Hat Quest,x200 for Raccoon Hat,7012,,,,
Tough Vines,"Keep, NPC","Official Hat Quest, Dungeon Quest, Other Quest","x300 for Straw Hat, x20 for Finding the Moving Island Quest (Moscovia Dungeon Access), x20 for New Surroundings Quest",7197,,,,
Toxic Gas,NPC,Misc,,7322,,,,
Transparent Head Protector,Junk,Pet Accessory,,10003,,,,
Transparent Plate,Keep,Dungeon Quest,,7352,,,,
Tree Root,NPC,Misc,,902,0,0,,Yes
Tropical Banana,Vend,"Pet Taming Item, Pet Evolution, Cooking","Yoyo Taming Item, x3 for Choco Pet Evolution",634,,,,
Trunk,Keep,"Cooking, Official Hat Quest",x120 for Sakkat,1019,,,,
Turquoise,"Keep, Vend","Refining / Ore / Forging, Server Hat Quest",x20 for Santa Poring Hat,7294,,,,
Turtle Shell,NPC,Misc,,967,,,,
Unripe Apple,"Keep, Vend","Pet Taming Item, Pet Evolution, Cooking, Dungeon Quest","x1 for Veins Siblings Quest, Poring Taming Item, x3 for Mastering Pet Evolution",619,,,,
Used Iron Plate,NPC,Other Quest,x10 for Factory Quest,7319,,,,
Vagabond's Skull,Vend,Pet Taming Item,"Wanderer Taming Item,",14574,,,,
Valhalla's Flower,"Keep, Vend",Server Hat Quest,x50 for Dark Randgris Helm,7510,,,,
Venom Canine,Keep,"Skill Crafting, Official Hat Quest",Create Deadly Poison,937,,,,
Very Red Juice,Vend,Pet Taming Item,"Loli Ruri Taming Item,",12360,,,,
Very Soft Plant,Vend,Pet Taming Item,"Leaf Cat Taming Item, ",12359,,,,
Violet Dyestuffs,"Keep, Vend","Pet Evolution, Official Hat Quest",x3 for Am Mut Pet Evolution,981,,,,
Wanderer Card,"Keep, Vend","Pet Evolution, Card",x3 for Contaminated Wanderer Pet Evolution,4210,,,,
Wedding Bouquet,"Keep, NPC",Official Hat Quest,,745,0,0,,Yes
Well Ripened Berry,NPC,Pet Food,,6106,,,,No
Well-baked Cookie,"Keep, NPC","Official Hat Quest, Consumable",x15 for Cake Hat,538,,,,No
Well-Dried Bone,"Keep, Vend","Pet Taming Item, Pet Evolution, Server Hat Quest","x20 for Pirate Dagger, Baby Desert Wolf Taming Item, x3 for Desert Wolf Pet Evolution",628,,,,No
Western Grace [0],Keep,Official Hat Quest,x1 for Cowboy Hat,,,,,No
White Dyestuffs,Keep,Official Hat Quest,"x1 for Chef Hat, x1 for Hot-blooded Headband, x1 for Feather Beret, x1 for Mystic Rose",982,,,,No
